Категория: Все категории

Месяц,c#: (Россия)
2004-01,33
2004-02,67
2004-03,77
2004-04,65
2004-05,58
2004-06,54
2004-07,62
2004-08,76
2004-09,89
2004-10,81
2004-11,75
2004-12,69
2005-01,53
2005-02,60
2005-03,70
2005-04,79
2005-05,74
2005-06,80
2005-07,100
2005-08,69
2005-09,86
2005-10,77
2005-11,80
2005-12,78
2006-01,75
2006-02,66
2006-03,79
2006-04,84
2006-05,69
2006-06,95
2006-07,67
2006-08,86
2006-09,71
2006-10,72
2006-11,80
2006-12,67
2007-01,65
2007-02,68
2007-03,73
2007-04,55
2007-05,63
2007-06,67
2007-07,80
2007-08,71
2007-09,64
2007-10,72
2007-11,57
2007-12,56
2008-01,50
2008-02,61
2008-03,60
2008-04,62
2008-05,56
2008-06,59
2008-07,58
2008-08,51
2008-09,54
2008-10,53
2008-11,52
2008-12,49
2009-01,43
2009-02,52
2009-03,52
2009-04,55
2009-05,55
2009-06,52
2009-07,50
2009-08,53
2009-09,52
2009-10,55
2009-11,55
2009-12,46
2010-01,45
2010-02,48
2010-03,54
2010-04,59
2010-05,61
2010-06,58
2010-07,51
2010-08,48
2010-09,54
2010-10,46
2010-11,47
2010-12,45
2011-01,28
2011-02,35
2011-03,38
2011-04,39
2011-05,39
2011-06,34
2011-07,32
2011-08,32
2011-09,32
2011-10,32
2011-11,33
2011-12,31
2012-01,26
2012-02,32
2012-03,32
2012-04,35
2012-05,37
2012-06,34
2012-07,32
2012-08,33
2012-09,34
2012-10,30
2012-11,32
2012-12,29
2013-01,25
2013-02,29
2013-03,29
2013-04,32
2013-05,29
2013-06,30
2013-07,28
2013-08,29
2013-09,31
2013-10,30
2013-11,27
2013-12,29
2014-01,25
2014-02,27
2014-03,27
2014-04,28
2014-05,28
2014-06,25
2014-07,25
2014-08,22
2014-09,23
2014-10,25
2014-11,24
2014-12,22
2015-01,18
2015-02,22
2015-03,29
2015-04,23
2015-05,23
2015-06,23
2015-07,21
2015-08,21
2015-09,21
2015-10,22
2015-11,22
2015-12,22
2016-01,17
2016-02,23
2016-03,24
2016-04,24
2016-05,25
2016-06,23
2016-07,21
2016-08,21
2016-09,24
2016-10,23
2016-11,22
2016-12,21
2017-01,19
2017-02,20
2017-03,24
2017-04,23
2017-05,23
2017-06,21
2017-07,20
2017-08,19
2017-09,20
2017-10,22
2017-11,23
2017-12,21
2018-01,18
2018-02,20
2018-03,20
2018-04,21
2018-05,20
2018-06,19
2018-07,18
2018-08,19
2018-09,19
2018-10,19
2018-11,20
2018-12,19
2019-01,15
2019-02,20
2019-03,17
2019-04,22
2019-05,18
2019-06,19
2019-07,19
2019-08,18
2019-09,21
2019-10,22
2019-11,19
2019-12,20
2020-01,19
2020-02,18
2020-03,19
2020-04,18
2020-05,21
2020-06,19
2020-07,16
2020-08,17
2020-09,20
2020-10,17
2020-11,16
2020-12,14
2021-01,13
2021-02,16
2021-03,18
2021-04,18
2021-05,17
2021-06,17
2021-07,15
2021-08,15
2021-09,19
2021-10,18
2021-11,19
2021-12,17
2022-01,20
2022-02,24
2022-03,28
2022-04,29
2022-05,28
2022-06,25
2022-07,23
2022-08,22
2022-09,22
2022-10,24
2022-11,26
